Date,Time,delta_ms,Voltage,Current
2014-02-08,14:52:41,891,3.54264,-0.00802552
2014-02-08,14:52:42,1007,3.54259,-0.00802163
2014-02-08,14:52:43,1004,3.5431,0.000785506
2014-02-08,14:52:44,1002,3.54313,0.000710522
2014-02-08,14:52:45,1001,3.54316,0.00069036
2014-02-08,14:52:46,998,3.54315,0.000667272
2014-02-08,14:52:47,1003,3.54317,0.000640581
2014-02-08,14:52:48,998,3.54314,0.000643965
2014-02-08,14:52:49,1004,3.54314,0.000621919
2014-02-08,14:52:50,1002,3.54315,0.000628228
2014-02-08,14:52:51,999,3.54312,0.000619726
2014-02-08,14:52:52,1002,3.54319,0.000621318
2014-02-08,14:52:53,1001,3.54317,0.000628772
2014-02-08,14:52:54,1003,3.54319,0.000634278
2014-02-08,14:52:55,1003,3.54316,0.000637001
2014-02-08,14:52:56,1002,3.5432,0.000617776
2014-02-08,14:52:57,1003,3.54318,0.000615535
2014-02-08,14:52:58,1003,3.54318,0.000624068
2014-02-08,14:52:59,998,3.54315,0.000615807
2014-02-08,14:53:00,1006,3.54321,0.000632924
2014-02-08,14:53:01,1001,3.54319,0.000627289
2014-02-08,14:53:02,1002,3.54318,0.000598143
2014-02-08,14:53:03,1004,3.54316,0.000605611
2014-02-08,14:53:04,1001,3.54317,0.00062839
2014-02-08,14:53:05,1006,3.54318,0.000612369
2014-02-08,14:53:06,1003,3.5432,0.000592154
2014-02-08,14:53:07,1003,3.54314,0.000615791
2014-02-08,14:53:08,1000,3.54312,0.000609423
2014-02-08,14:53:09,1003,3.54316,0.000627152
2014-02-08,14:53:10,1002,3.54322,0.000638123
2014-02-08,14:53:11,1000,3.54318,0.000619388
2014-02-08,14:53:12,1002,3.54315,0.000612739
2014-02-08,14:53:13,1002,3.57973,0.931722
2014-02-08,14:53:14,1002,3.5797,0.770586
2014-02-08,14:53:15,1006,3.5797,0.662817
2014-02-08,14:53:16,1004,3.57971,0.583868
2014-02-08,14:53:17,1003,3.57968,0.517508
2014-02-08,14:53:18,998,3.5797,0.465161
2014-02-08,14:53:19,1001,3.57972,0.421014
2014-02-08,14:53:20,1000,3.57974,0.38202
2014-02-08,14:53:21,1003,3.57972,0.347657
2014-02-08,14:53:22,1003,3.57973,0.320106
2014-02-08,14:53:23,1001,3.57976,0.295014
2014-02-08,14:53:24,1005,3.57974,0.27275
2014-02-08,14:53:25,999,3.57974,0.253506
2014-02-08,14:53:26,1004,3.57975,0.235077
2014-02-08,14:53:27,1001,3.57974,0.219628
