Date,Time,delta_ms,Voltage,Current
2014-02-08,14:38:40,892,3.39365,-0.00772251
2014-02-08,14:38:41,1003,3.39364,-0.00770041
2014-02-08,14:38:42,1002,3.39413,0.000769878
2014-02-08,14:38:43,1000,3.39414,0.000684161
2014-02-08,14:38:44,1004,3.39415,0.000663902
2014-02-08,14:38:45,1000,3.39417,0.000673445
2014-02-08,14:38:46,1003,3.39418,0.000669985
2014-02-08,14:38:47,1003,3.39418,0.000663476
2014-02-08,14:38:48,1004,3.3942,0.000625012
2014-02-08,14:38:49,1003,3.39418,0.000617336
2014-02-08,14:38:50,1006,3.3942,0.000620832
2014-02-08,14:38:51,998,3.39423,0.000618694
2014-02-08,14:38:52,1001,3.39421,0.00063002
2014-02-08,14:38:53,1003,3.39417,0.000642182
2014-02-08,14:38:54,1006,3.3942,0.000620118
2014-02-08,14:38:55,1001,3.39422,0.000619185
2014-02-08,14:38:56,1003,3.3942,0.000604621
2014-02-08,14:38:57,999,3.39419,0.000605793
2014-02-08,14:38:58,1003,3.39419,0.000616842
2014-02-08,14:38:59,999,3.39422,0.000605481
2014-02-08,14:39:00,1002,3.39421,0.000614635
2014-02-08,14:39:01,999,3.39424,0.000619369
2014-02-08,14:39:02,1002,3.48331,2.50007
2014-02-08,14:39:03,1003,3.48893,2.50005
2014-02-08,14:39:04,1007,3.49343,2.50004
2014-02-08,14:39:05,1000,3.49757,2.50003
2014-02-08,14:39:06,1003,3.5016,2.50003
2014-02-08,14:39:07,1002,3.50544,2.50005
2014-02-08,14:39:08,1000,3.50915,2.50005
2014-02-08,14:39:09,1001,3.51294,2.50006
2014-02-08,14:39:10,1003,3.51664,2.50006
2014-02-08,14:39:11,1000,3.52039,2.50006
2014-02-08,14:39:12,1000,3.524,2.50007
2014-02-08,14:39:13,1003,3.52774,2.50002
2014-02-08,14:39:14,1005,3.53152,2.50001
2014-02-08,14:39:15,1000,3.53539,2.50004
2014-02-08,14:39:16,1003,3.53926,2.50003
2014-02-08,14:39:17,999,3.54325,2.50004
2014-02-08,14:39:18,1002,3.54725,2.50003
2014-02-08,14:39:19,1001,3.55128,2.50007
2014-02-08,14:39:20,1005,3.55547,2.50005
2014-02-08,14:39:21,1005,3.55965,2.50004
2014-02-08,14:39:22,1006,3.56385,2.50006
2014-02-08,14:39:23,1003,3.56818,2.50003
2014-02-08,14:39:24,1007,3.57266,2.50002
2014-02-08,14:39:25,999,3.5772,2.50003
2014-02-08,14:39:26,1004,3.57973,2.43118
2014-02-08,14:39:27,1001,3.57971,2.31146
2014-02-08,14:39:28,1000,3.57972,2.19946
2014-02-08,14:39:29,1001,3.57973,2.09463
2014-02-08,14:39:30,1000,3.5797,1.99781
2014-02-08,14:39:31,1001,3.57972,1.90364
2014-02-08,14:39:32,1000,3.57969,1.81695
2014-02-08,14:39:33,999,3.57968,1.73544
2014-02-08,14:39:34,1008,3.57968,1.65797
2014-02-08,14:39:35,1000,3.57971,1.58666
2014-02-08,14:39:36,1002,3.57966,1.51827
2014-02-08,14:39:37,1002,3.57969,1.453
2014-02-08,14:39:38,1002,3.57972,1.39097
2014-02-08,14:39:39,1001,3.57969,1.33239
2014-02-08,14:39:40,1002,3.5797,1.27789
2014-02-08,14:39:41,1002,3.57973,1.22647
2014-02-08,14:39:42,1006,3.57971,1.17761
2014-02-08,14:39:43,1004,3.57968,1.13117
2014-02-08,14:39:44,1002,3.57968,1.08553
2014-02-08,14:39:45,1001,3.5797,1.04386
2014-02-08,14:39:46,1001,3.57966,1.00402
2014-02-08,14:39:47,1003,3.57967,0.96806
2014-02-08,14:39:48,1003,3.57971,0.932577
2014-02-08,14:39:49,1002,3.5797,0.897527
2014-02-08,14:39:50,1003,3.57969,0.864736
2014-02-08,14:39:51,999,3.57968,0.834243
2014-02-08,14:39:52,1001,3.57966,0.805923
2014-02-08,14:39:53,1009,3.57971,0.778903
2014-02-08,14:39:54,1003,3.57969,0.751563
