Time,Voltage,Current
21:05:32,8.09919,-0.0186071
21:05:33,8.0992,-0.0186144
21:05:34,8.10835,0.00148625
21:05:35,8.1079,0.00119705
21:05:36,8.10795,0.0011459
21:05:37,8.10804,0.00112471
21:05:38,8.10816,0.00114478
21:05:40,8.10814,0.00113356
21:05:41,8.10827,0.00111573
21:05:42,8.1083,0.00114002
21:05:43,8.10831,0.00113827
21:05:44,8.10834,0.00111088
21:05:45,8.10844,0.00112696
21:05:46,8.10837,0.00112311
21:05:47,8.10851,0.00110381
21:05:49,8.10849,0.0011145
21:05:50,8.10851,0.00111652
21:05:51,8.10859,0.00110467
21:05:52,8.10859,0.00112152
21:05:53,8.10862,0.0011031
21:05:54,8.10864,0.00111262
21:05:55,8.10864,0.00111915
21:05:57,8.10871,0.00110317
21:05:58,8.10872,0.00109647
21:05:59,8.10873,0.00111326
21:06:00,8.10874,0.00111771
21:06:01,8.10882,0.00109184
21:06:02,8.10881,0.00113267
21:06:03,8.1088,0.00110755
21:06:04,8.10885,0.00112574
21:06:06,8.10886,0.00110704
21:06:07,8.10888,0.00112903
21:06:08,8.10891,0.00110027
21:06:09,8.10894,0.0011298
21:06:10,8.10893,0.00113581
21:06:11,8.10897,0.00109908
21:06:12,8.109,0.00113047
21:06:14,8.109,0.00109799
21:06:15,8.10905,0.00113399
21:06:16,8.10901,0.00110463
21:06:17,8.10907,0.00110284
21:06:18,8.10907,0.00113727
21:06:19,8.1091,0.00109848
21:06:20,8.10907,0.00111938
21:06:21,8.10908,0.0010971
21:06:23,8.10911,0.00112491
21:06:24,8.10916,0.00107485
21:06:25,8.10914,0.00111623
21:06:26,8.10919,0.0011113
21:06:27,8.10915,0.00111463
21:06:28,8.10922,0.00112219
21:06:29,8.10922,0.00111547
21:06:31,8.10919,0.00109539
21:06:32,8.10926,0.00113202
21:06:33,8.10925,0.0011174
21:06:34,8.10926,0.00109604
21:06:35,8.10923,0.00111109
21:06:36,8.10933,0.00109497
21:06:37,8.10929,0.00111642
21:06:38,8.10933,0.00108975
21:06:40,8.10933,0.00112433
21:06:41,8.10933,0.00110697
21:06:42,8.10936,0.00110019
21:06:43,8.10934,0.00111801
21:06:44,8.10936,0.00109434
21:06:45,8.34842,0.579987
21:06:46,8.34848,0.566747
21:06:48,8.34843,0.558663
21:06:49,8.34844,0.552216
21:06:50,8.34846,0.546612
21:06:51,8.34843,0.541901
21:06:52,8.34842,0.537414
21:06:53,8.34841,0.533354
21:06:54,8.34842,0.52953
21:06:55,8.34836,0.52615
21:06:57,8.34845,0.522774
21:06:58,8.34841,0.519791
21:06:59,8.34839,0.517838
21:07:00,8.34844,0.515223
21:07:01,8.34846,0.512603
21:07:02,8.34849,0.510056
21:07:03,8.34843,0.507793
21:07:04,8.34845,0.505192
21:07:06,8.34844,0.503029
21:07:07,8.34844,0.500841
21:07:08,8.34838,0.498776
21:07:09,8.34841,0.49667
21:07:10,8.34841,0.49487
21:07:11,8.3484,0.492958
21:07:12,8.34844,0.491175
21:07:14,8.34843,0.489409
21:07:15,8.34844,0.487693
21:07:16,8.34843,0.486099
21:07:17,8.34843,0.484465
21:07:18,8.34846,0.482934
21:07:19,8.34847,0.481496
21:07:20,8.34846,0.480009
21:07:22,8.3485,0.478466
21:07:23,8.34843,0.477035
21:07:24,8.34841,0.475637
21:07:25,8.34844,0.474183
21:07:26,8.34843,0.472886
21:07:27,8.34841,0.471712
21:07:28,8.34843,0.470367
21:07:29,8.34841,0.46927
21:07:31,8.34843,0.467944
21:07:32,8.34845,0.466806
21:07:33,8.34842,0.465796
21:07:34,8.34846,0.464494
21:07:35,8.34844,0.46358
21:07:36,8.3484,0.462382
21:07:37,8.34845,0.461245
21:07:39,8.34846,0.460362
21:07:40,8.34844,0.459331
21:07:41,8.34849,0.45835
21:07:42,8.34848,0.457411
21:07:43,8.34843,0.456337
21:07:44,8.34845,0.4554
21:07:45,8.34844,0.454539
21:07:46,8.34843,0.453512
21:07:48,8.34843,0.452768
21:07:49,8.34834,0.451739
21:07:50,8.34843,0.450844
21:07:51,8.34839,0.449916
21:07:52,8.34841,0.449086
21:07:53,8.3484,0.448394
21:07:54,8.34839,0.447447
21:07:56,8.3484,0.44682
21:07:57,8.3484,0.445953
21:07:58,8.34845,0.445283
21:07:59,8.34841,0.444607
21:08:00,8.34841,0.443677
21:08:01,8.34847,0.442925
21:08:02,8.34846,0.442237
21:08:03,8.34841,0.441562
21:08:05,8.34842,0.440729
21:08:06,8.34841,0.440107
21:08:07,8.34838,0.43958
21:08:08,8.34837,0.438722
21:08:09,8.34841,0.43819
21:08:10,8.3484,0.437418
21:08:11,8.34846,0.436618
21:08:13,8.34841,0.436071
21:08:14,8.34841,0.435472
21:08:15,8.34841,0.434682
21:08:16,8.3484,0.434222
21:08:17,8.3484,0.4335
21:08:18,8.34839,0.432932
21:08:19,8.34843,0.432476
21:08:20,8.34842,0.431844
21:08:22,8.3484,0.4311
21:08:23,8.34842,0.430624
21:08:24,8.34841,0.430108
21:08:25,8.34844,0.42949
21:08:26,8.34842,0.428964
21:08:27,8.34843,0.428549
21:08:28,8.34841,0.427865
21:08:30,8.34839,0.427491
21:08:31,8.34847,0.426799
21:08:32,8.34844,0.426436
21:08:33,8.34848,0.425855
21:08:34,8.34844,0.425393
21:08:35,8.34847,0.424746
21:08:36,8.34842,0.424399
21:08:37,8.34846,0.423772
21:08:39,8.34845,0.423265
21:08:40,8.34844,0.42276
21:08:41,8.34841,0.422407
21:08:42,8.34847,0.421808
21:08:43,8.34844,0.421458
21:08:44,8.34843,0.421083
21:08:45,8.34846,0.420447
21:08:47,8.34843,0.42005
21:08:48,8.34846,0.419726
21:08:49,8.34844,0.419193
21:08:50,8.34842,0.418717
21:08:51,8.34839,0.418305
21:08:52,8.34842,0.417825
21:08:53,8.34841,0.417475
21:08:54,8.34846,0.416977
21:08:56,8.34844,0.416585
21:08:57,8.34838,0.416121
21:08:58,8.34843,0.415603
21:08:59,8.34836,0.415272
21:09:00,8.34835,0.414868
21:09:01,8.3484,0.414423
21:09:02,8.34841,0.414209
21:09:04,8.34842,0.413909
21:09:05,8.3484,0.413349
21:09:06,8.34837,0.413035
21:09:07,8.34836,0.412585
21:09:08,8.34845,0.412209
21:09:09,8.34839,0.411909
21:09:10,8.34842,0.411439
21:09:11,8.34842,0.411172
21:09:13,8.34846,0.410836
21:09:14,8.3484,0.410472
21:09:15,8.34847,0.410205
21:09:16,8.34842,0.409787
21:09:17,8.34845,0.409557
21:09:18,8.34839,0.409217
21:09:19,8.3484,0.408824
21:09:21,8.34842,0.408476
21:09:22,8.34843,0.408301
21:09:23,8.34843,0.407865
21:09:24,8.34847,0.407517
21:09:25,8.34845,0.407235
21:09:26,8.3484,0.406964
21:09:27,8.34846,0.406534
21:09:28,8.34845,0.406291
21:09:30,8.34842,0.405909
21:09:31,8.34846,0.40561
21:09:32,8.34844,0.405289
21:09:33,8.34845,0.404902
21:09:34,8.34848,0.40474
21:09:35,8.34844,0.404295
21:09:36,8.34847,0.40391
21:09:38,8.34839,0.403693
21:09:39,8.34842,0.40336
21:09:40,8.34844,0.403072
21:09:41,8.34842,0.402844
21:09:42,8.34843,0.402464
21:09:43,8.34843,0.40226
21:09:44,8.34843,0.401881
21:09:45,8.34842,0.401725
21:09:47,8.34843,0.401407
21:09:48,8.34839,0.401053
21:09:49,8.34846,0.400897
21:09:50,8.34843,0.400524
21:09:51,8.34843,0.400268
21:09:52,8.34843,0.399911
21:09:53,8.34845,0.399676
21:09:55,8.34843,0.399256
21:09:56,8.34846,0.399054
21:09:57,8.34838,0.398684
21:09:58,8.34846,0.398417
21:09:59,8.34841,0.398061
21:10:00,8.34845,0.39773
21:10:01,8.34839,0.397639
21:10:02,8.34841,0.397316
21:10:04,8.3484,0.397012
21:10:05,8.3484,0.396848
21:10:06,8.34838,0.396464
21:10:07,8.34842,0.396317
21:10:08,8.34845,0.395904
21:10:09,8.34845,0.395825
21:10:10,8.34842,0.395405
21:10:11,8.34846,0.395312
21:10:13,8.34846,0.394898
21:10:14,8.34837,0.39474
21:10:15,8.34843,0.394468
21:10:16,8.34846,0.394347
21:10:17,8.34844,0.394071
21:10:18,8.34848,0.393857
21:10:19,8.34846,0.393749
21:10:21,8.34847,0.393354
21:10:22,8.34846,0.393269
21:10:23,8.34846,0.392966
21:10:24,8.34849,0.392695
21:10:25,8.34846,0.392567
21:10:26,8.34848,0.392121
21:10:27,8.34843,0.392049
21:10:28,8.34841,0.391689
21:10:30,8.34849,0.391603
21:10:31,8.34843,0.391247
21:10:32,8.34843,0.390983
21:10:33,8.34841,0.3909
21:10:34,8.34842,0.390646
21:10:35,8.34843,0.390352
21:10:36,8.34847,0.390161
21:10:38,8.34845,0.389976
21:10:39,8.34846,0.389784
21:10:40,8.34844,0.389555
21:10:41,8.34847,0.38925
21:10:42,8.34845,0.389076
21:10:43,8.34842,0.388871
21:10:44,8.34845,0.388594
21:10:46,8.34846,0.388461
21:10:47,8.34844,0.388178
21:10:48,8.3485,0.388055
21:10:49,8.34842,0.387778
21:10:50,8.34849,0.387526
21:10:51,8.34841,0.38744
21:10:52,8.34847,0.38719
21:10:53,8.34841,0.386941
21:10:55,8.34845,0.386705
21:10:56,8.34844,0.386597
21:10:57,8.34846,0.386395
21:10:58,8.34848,0.386142
21:10:59,8.3484,0.386001
21:11:00,8.34846,0.38568
21:11:01,8.34845,0.385377
21:11:02,8.34846,0.385326
21:11:04,8.34842,0.385023
21:11:05,8.34842,0.384903
21:11:06,8.34844,0.384756
21:11:07,8.34846,0.38442
21:11:08,8.34847,0.384299
21:11:09,8.34844,0.384095
21:11:10,8.34841,0.383751
21:11:12,8.34848,0.383653
21:11:13,8.34842,0.383524
21:11:14,8.34839,0.383277
21:11:15,8.34844,0.383021
21:11:16,8.34842,0.382918
21:11:17,8.34848,0.382751
21:11:18,8.34848,0.382471
21:11:20,8.34844,0.382292
21:11:21,8.34845,0.381987
21:11:22,8.34845,0.381872
21:11:23,8.34846,0.381585
21:11:24,8.34845,0.381566
21:11:25,8.34846,0.38129
21:11:26,8.34845,0.381035
21:11:27,8.34844,0.380967
21:11:29,8.34844,0.380578
21:11:30,8.3484,0.380486
21:11:31,8.34844,0.3803
21:11:32,8.34847,0.380175
21:11:33,8.34843,0.379983
21:11:34,8.34843,0.379674
21:11:35,8.34848,0.379561
21:11:37,8.34842,0.37942
21:11:38,8.34843,0.379116
21:11:39,8.34847,0.379009
21:11:40,8.34842,0.378843
