Time,Voltage,Current
20:41:43,8.08187,-0.0186069
20:41:44,8.08214,-0.0186715
20:41:45,8.09164,0.00154918
20:41:47,8.09134,0.00119242
20:41:48,8.09173,0.00113324
20:41:49,8.09215,0.00113097
20:41:50,8.09248,0.00111368
20:41:51,8.09281,0.0010772
20:41:52,8.09311,0.00111392
20:41:53,8.09333,0.00111094
20:41:54,8.09363,0.00109258
20:41:56,8.09394,0.00106952
20:41:57,8.09428,0.00110706
20:41:58,8.09448,0.00109561
20:41:59,8.09484,0.00106047
20:42:00,8.0951,0.00109873
20:42:01,8.09528,0.00111539
20:42:02,8.0955,0.00110746
20:42:04,8.0957,0.0010687
20:42:05,8.09597,0.00110486
20:42:06,8.09615,0.00109094
20:42:07,8.09633,0.00106817
20:42:08,8.09661,0.00107307
20:42:09,8.09681,0.0010951
20:42:10,8.09703,0.00109627
20:42:11,8.09727,0.00111273
20:42:13,8.09748,0.00106954
20:42:14,8.09767,0.00108186
20:42:15,8.09786,0.00109751
20:42:16,8.09808,0.00107109
20:42:17,8.09828,0.00109485
20:42:18,8.09839,0.00110411
20:42:19,8.09857,0.00107876
20:42:21,8.09879,0.00109601
20:42:22,8.09894,0.00111674
20:42:23,8.09913,0.00109751
20:42:24,8.09933,0.00108593
20:42:25,8.09946,0.00110324
20:42:26,8.09966,0.00107532
20:42:27,8.09982,0.0010937
20:42:29,8.09995,0.00110831
20:42:30,8.10013,0.00110796
20:42:31,8.10025,0.00109314
20:42:32,8.10046,0.00109283
20:42:33,8.10056,0.00107277
20:42:34,8.10069,0.00110755
20:42:35,8.1008,0.00109537
20:42:37,8.10093,0.0010795
20:42:38,8.1011,0.00106339
20:42:39,8.10125,0.00109795
20:42:40,8.10142,0.00106863
20:42:41,8.10153,0.00108898
20:42:42,8.10167,0.00110876
20:42:43,8.10179,0.0010906
20:42:45,8.10195,0.00109373
20:42:46,8.10211,0.00111028
20:42:47,8.10222,0.00110695
20:42:48,8.10238,0.00107899
