Date,Time,delta_ms,Voltage,Current
2015-04-16,23:40:46,892,4.10176,-0.00912152
2015-04-16,23:40:47,1002,4.10168,-0.00916627
2015-04-16,23:40:48,1005,4.10567,0.000981186
2015-04-16,23:40:49,1003,4.10562,0.000887195
2015-04-16,23:40:50,1001,4.10563,0.000848058
2015-04-16,23:40:51,1004,4.10565,0.000870829
2015-04-16,23:40:52,1003,4.10565,0.000842497
2015-04-16,23:40:53,1002,4.10568,0.00086281
2015-04-16,23:40:54,999,4.10567,0.000858611
2015-04-16,23:40:55,1002,4.1057,0.000836851
2015-04-16,23:40:56,1000,4.10568,0.000840381
2015-04-16,23:40:57,1001,4.10569,0.000824064
2015-04-16,23:40:58,1002,4.10571,0.000806316
2015-04-16,23:40:59,1004,4.1057,0.000830131
2015-04-16,23:41:00,999,4.10571,0.00082464
2015-04-16,23:41:01,1003,4.10571,0.000831182
2015-04-16,23:41:02,1002,4.1057,0.000833837
2015-04-16,23:41:03,1001,4.10573,0.00083102
2015-04-16,23:41:04,1002,4.10573,0.000845226
2015-04-16,23:41:05,1002,4.1057,0.000797854
2015-04-16,23:41:06,1000,4.10571,0.000817318
2015-04-16,23:41:07,1002,4.10565,0.000812369
2015-04-16,23:41:08,1002,4.10565,0.000798367
2015-04-16,23:41:09,1000,4.10568,0.000833351
2015-04-16,23:41:10,1003,4.10568,0.00083103
2015-04-16,23:41:11,1002,4.10568,0.000835883
2015-04-16,23:41:12,1002,4.10567,0.000819489
2015-04-16,23:41:13,1000,4.1057,0.0008062
2015-04-16,23:41:14,1006,4.10567,0.000811726
2015-04-16,23:41:15,1003,4.10569,0.000826467
2015-04-16,23:41:16,1000,4.10568,0.000830167
2015-04-16,23:41:17,1003,4.10565,0.000832267
2015-04-16,23:41:18,1002,4.10566,0.000821345
2015-04-16,23:41:19,1003,4.10561,0.000803185
2015-04-16,23:41:20,999,4.10565,0.000817546
2015-04-16,23:41:21,1003,4.10563,0.000804214
2015-04-16,23:41:22,1001,4.1056,0.000820584
2015-04-16,23:41:23,1001,4.1056,0.000816221
2015-04-16,23:41:24,1002,4.10559,0.000834177
2015-04-16,23:41:25,1002,4.10561,0.000825468
2015-04-16,23:41:26,1001,4.10562,0.000821756
2015-04-16,23:41:27,1000,4.10562,0.000792377
2015-04-16,23:41:28,1003,4.10559,0.000806696
2015-04-16,23:41:29,1001,4.10557,0.000806214
2015-04-16,23:41:30,999,4.10552,0.000812428
2015-04-16,23:41:31,1000,4.10552,0.000804844
2015-04-16,23:41:32,1004,4.10551,0.000837858
2015-04-16,23:41:33,1003,4.10554,0.000827114
2015-04-16,23:41:34,1001,4.10553,0.000830637
2015-04-16,23:41:35,1001,4.10555,0.000812473
2015-04-16,23:41:36,1004,4.10546,0.000803557
2015-04-16,23:41:37,1001,4.10549,0.000820569
2015-04-16,23:41:38,1003,4.1055,0.000824443
2015-04-16,23:41:39,1001,4.10549,0.000838291
2015-04-16,23:41:40,999,4.10545,0.000839172
2015-04-16,23:41:41,1004,4.10545,0.000832732
2015-04-16,23:41:42,1001,4.10543,0.000804985
2015-04-16,23:41:43,1000,4.10539,0.000798036
2015-04-16,23:41:44,1005,4.1054,0.000816312
2015-04-16,23:41:45,1001,4.10537,0.000819047
2015-04-16,23:41:46,1000,4.10535,0.000830255
2015-04-16,23:41:47,1001,4.10536,0.000818748
