Time,Voltage,Current
00:33:16,8.30661E+0,5.00486E-1
00:33:17,8.31515E+0,5.00422E-1
00:33:18,8.32130E+0,5.00394E-1
00:33:20,8.32615E+0,5.00406E-1
00:33:21,8.33062E+0,5.00383E-1
00:33:22,8.33451E+0,5.00373E-1
00:33:23,8.33807E+0,5.00345E-1
00:33:24,8.34139E+0,5.00364E-1
00:33:25,8.34444E+0,5.00388E-1
00:33:26,8.34731E+0,5.00353E-1
00:33:27,8.35008E+0,5.00344E-1
00:33:29,8.35259E+0,5.00327E-1
00:33:30,8.35494E+0,5.00365E-1
00:33:31,8.35723E+0,5.00363E-1
00:33:32,8.35937E+0,5.00345E-1
00:33:33,8.36163E+0,5.00342E-1
00:33:34,8.36351E+0,5.00377E-1
00:33:35,8.36522E+0,5.00393E-1
00:33:37,8.36709E+0,5.00386E-1
00:33:38,8.36895E+0,5.00361E-1
00:33:39,8.37063E+0,5.00360E-1
00:33:40,8.37231E+0,5.00371E-1
00:33:41,8.37392E+0,5.00406E-1
00:33:42,8.37553E+0,5.00350E-1
00:33:43,8.37709E+0,5.00374E-1
00:33:44,8.37858E+0,5.00369E-1
00:33:46,8.37999E+0,5.00381E-1
00:33:47,8.38136E+0,5.00367E-1
00:33:48,8.38272E+0,5.00342E-1
00:33:49,8.38413E+0,5.00370E-1
00:33:50,8.38541E+0,5.00378E-1
00:33:51,8.38661E+0,5.00357E-1
00:33:52,8.38785E+0,5.00368E-1
00:33:54,8.38903E+0,5.00386E-1
00:33:55,8.39019E+0,5.00354E-1
00:33:56,8.39132E+0,5.00372E-1
00:33:57,8.39238E+0,5.00365E-1
00:33:58,8.39352E+0,5.00346E-1
00:33:59,8.39463E+0,5.00364E-1
00:34:00,8.39564E+0,5.00369E-1
00:34:02,8.39668E+0,5.00354E-1
00:34:03,8.39761E+0,5.00333E-1
00:34:04,8.39865E+0,5.00378E-1
00:34:05,8.39961E+0,5.00053E-1
00:34:06,8.39958E+0,4.97712E-1
00:34:07,8.39960E+0,4.95430E-1
00:34:08,8.39956E+0,4.93048E-1
00:34:09,8.39960E+0,4.90871E-1
00:34:11,8.39961E+0,4.88829E-1
00:34:12,8.39959E+0,4.86694E-1
00:34:13,8.39962E+0,4.84679E-1
00:34:14,8.39959E+0,4.82895E-1
00:34:15,8.39964E+0,4.81000E-1
00:34:16,8.39959E+0,4.79090E-1
00:34:17,8.39961E+0,4.77218E-1
00:34:19,8.39962E+0,4.75475E-1
00:34:20,8.39963E+0,4.73927E-1
00:34:21,8.39955E+0,4.72036E-1
00:34:22,8.39958E+0,4.70479E-1
00:34:23,8.39958E+0,4.68758E-1
00:34:24,8.39958E+0,4.67272E-1
00:34:25,8.39957E+0,4.65754E-1
00:34:26,8.39960E+0,4.64216E-1
00:34:28,8.39957E+0,4.62949E-1
00:34:29,8.39961E+0,4.61428E-1
00:34:30,8.39964E+0,4.60151E-1
00:34:31,8.39959E+0,4.58645E-1
00:34:32,8.39961E+0,4.57331E-1
00:34:33,8.39957E+0,4.56061E-1
00:34:34,8.39956E+0,4.54729E-1
00:34:36,8.39960E+0,4.53373E-1
00:34:37,8.39956E+0,4.52228E-1
00:34:38,8.39960E+0,4.50698E-1
00:34:39,8.39962E+0,4.49506E-1
00:34:40,8.39955E+0,4.48383E-1
00:34:41,8.39959E+0,4.47202E-1
00:34:42,8.39960E+0,4.46240E-1
00:34:43,8.39961E+0,4.45105E-1
00:34:45,8.39960E+0,4.43865E-1
00:34:46,8.39968E+0,4.42753E-1
00:34:47,8.39961E+0,4.41686E-1
00:34:48,8.39962E+0,4.40557E-1
00:34:49,8.39960E+0,4.39611E-1
00:34:50,8.39954E+0,4.38510E-1
00:34:51,8.39960E+0,4.37386E-1
00:34:53,8.39956E+0,4.36493E-1
00:34:54,8.39960E+0,4.35459E-1
00:34:55,8.39957E+0,4.34377E-1
00:34:56,8.39956E+0,4.33552E-1
