Date,Time,delta_ms,Voltage,Current
2015-04-16,23:43:25,892,4.09746,-0.00918198
2015-04-16,23:43:26,1004,4.09746,-0.00916508
2015-04-16,23:43:27,1004,4.02652,-0.198917
2015-04-16,23:43:28,1007,4.02516,-0.198869
2015-04-16,23:43:29,1001,4.02415,-0.198861
2015-04-16,23:43:30,1002,4.02322,-0.198864
2015-04-16,23:43:31,1000,4.02244,-0.198855
2015-04-16,23:43:32,999,4.0217,-0.19886
2015-04-16,23:43:33,1002,4.02091,-0.198871
2015-04-16,23:43:34,1002,4.02021,-0.198889
2015-04-16,23:43:35,999,4.01959,-0.198861
2015-04-16,23:43:36,1002,4.01903,-0.19886
2015-04-16,23:43:37,1000,4.01843,-0.198891
2015-04-16,23:43:38,1003,4.01785,-0.198863
2015-04-16,23:43:39,1002,4.01728,-0.198846
2015-04-16,23:43:40,1003,4.01675,-0.198854
2015-04-16,23:43:41,1000,4.01624,-0.198864
2015-04-16,23:43:42,1002,4.0157,-0.198874
2015-04-16,23:43:43,1003,4.01517,-0.198885
2015-04-16,23:43:44,1004,4.01468,-0.198873
2015-04-16,23:43:45,1002,4.01423,-0.198853
2015-04-16,23:43:46,1001,4.01377,-0.198861
2015-04-16,23:43:47,1002,4.01332,-0.198849
2015-04-16,23:43:48,1004,4.01285,-0.198876
2015-04-16,23:43:49,999,4.01242,-0.198881
2015-04-16,23:43:50,1002,4.01191,-0.198885
2015-04-16,23:43:51,1000,4.01143,-0.198885
2015-04-16,23:43:52,999,4.01107,-0.198889
2015-04-16,23:43:53,1005,4.01065,-0.198854
2015-04-16,23:43:54,1005,4.01027,-0.198843
2015-04-16,23:43:55,1002,4.00991,-0.198884
2015-04-16,23:43:56,1001,4.00954,-0.198867
2015-04-16,23:43:57,1001,4.00908,-0.198881
2015-04-16,23:43:58,1006,4.00871,-0.198873
2015-04-16,23:43:59,1003,4.00832,-0.198853
2015-04-16,23:44:00,1001,4.00797,-0.198851
2015-04-16,23:44:01,1001,4.00762,-0.198844
2015-04-16,23:44:02,1001,4.00725,-0.198867
2015-04-16,23:44:03,1002,4.00687,-0.198856
2015-04-16,23:44:04,1000,4.00655,-0.198882
2015-04-16,23:44:05,1001,4.00619,-0.198889
2015-04-16,23:44:06,1001,4.00583,-0.198878
2015-04-16,23:44:07,1003,4.00549,-0.198871
2015-04-16,23:44:08,1004,4.00519,-0.198864
2015-04-16,23:44:09,1002,4.00482,-0.198845
2015-04-16,23:44:10,1005,4.00451,-0.198875
2015-04-16,23:44:11,1000,4.00421,-0.198885
2015-04-16,23:44:12,1003,4.00387,-0.198889
2015-04-16,23:44:13,1001,4.00354,-0.198863
2015-04-16,23:44:14,1003,4.00321,-0.198849
2015-04-16,23:44:15,1001,4.00297,-0.198851
2015-04-16,23:44:16,1004,4.00268,-0.198856
2015-04-16,23:44:17,1003,4.00235,-0.198871
2015-04-16,23:44:18,1001,4.00205,-0.198872
2015-04-16,23:44:19,1006,4.00179,-0.198855
2015-04-16,23:44:20,999,4.00146,-0.198867
2015-04-16,23:44:21,1002,4.00121,-0.198849
2015-04-16,23:44:22,1003,4.00089,-0.198871
2015-04-16,23:44:23,1003,4.0006,-0.198896
2015-04-16,23:44:24,1005,4.00031,-0.198867
2015-04-16,23:44:25,1000,4.00008,-0.198847
2015-04-16,23:44:26,1003,3.9998,-0.198847
2015-04-16,23:44:27,1002,3.99955,-0.198894
2015-04-16,23:44:28,1005,3.99928,-0.198892
2015-04-16,23:44:29,1003,3.99898,-0.198871
2015-04-16,23:44:30,1002,3.99877,-0.198859
2015-04-16,23:44:31,998,3.99853,-0.198855
