Date,Time,delta_ms,Voltage,Current
2014-02-17,23:52:08,892,6.32121,-0.0146471
2014-02-17,23:52:09,1003,6.32118,-0.0145919
2014-02-17,23:52:10,1006,6.32381,0.00129312
2014-02-17,23:52:11,1001,6.32378,0.00122788
2014-02-17,23:52:12,1003,6.32379,0.00120992
2014-02-17,23:52:13,1000,6.32383,0.0012025
2014-02-17,23:52:14,1002,6.3238,0.00119847
2014-02-17,23:52:15,1004,6.32382,0.00116881
2014-02-17,23:52:16,1004,6.32382,0.00116048
2014-02-17,23:52:17,1001,6.32382,0.00115922
2014-02-17,23:52:18,1003,6.32385,0.00115797
2014-02-17,23:52:19,1001,6.32384,0.00116347
2014-02-17,23:52:20,1002,6.32384,0.00116738
2014-02-17,23:52:21,1001,6.32388,0.0011714
2014-02-17,23:52:22,1004,6.32386,0.00116974
2014-02-17,23:52:23,1003,6.32386,0.00114431
2014-02-17,23:52:24,1000,6.32387,0.00115311
2014-02-17,23:52:25,1004,6.32383,0.00114091
2014-02-17,23:52:26,1002,6.3239,0.00113504
2014-02-17,23:52:27,999,6.32388,0.0011412
2014-02-17,23:52:28,1003,6.32388,0.0011419
2014-02-17,23:52:29,1003,6.32388,0.00116115
2014-02-17,23:52:30,1001,6.32389,0.00114598
2014-02-17,23:52:31,1000,6.32391,0.00116715
2014-02-17,23:52:32,1000,6.32392,0.00116762
2014-02-17,23:52:33,1003,6.32388,0.00117293
2014-02-17,23:52:34,1004,6.32393,0.00118182
2014-02-17,23:52:35,1001,6.32395,0.00116843
2014-02-17,23:52:36,1000,6.32389,0.0011635
2014-02-17,23:52:37,1002,6.32392,0.00114627
2014-02-17,23:52:38,1000,6.32392,0.0011452
2014-02-17,23:52:39,1003,6.32391,0.00113699
2014-02-17,23:52:40,1001,6.32396,0.0011367
2014-02-17,23:52:41,1000,6.32391,0.0011335
2014-02-17,23:52:42,1003,6.32392,0.00112893
2014-02-17,23:52:43,1001,6.32392,0.00113075
2014-02-17,23:52:44,999,6.32394,0.00112936
2014-02-17,23:52:45,1003,6.32393,0.00114353
2014-02-17,23:52:46,1004,6.32395,0.00114452
2014-02-17,23:52:47,1001,6.32396,0.00116813
2014-02-17,23:52:48,1004,6.324,0.00115964
2014-02-17,23:52:49,1004,6.32396,0.00114679
2014-02-17,23:52:50,1002,6.32399,0.00113521
2014-02-17,23:52:51,1003,6.32396,0.00112641
2014-02-17,23:52:52,1003,6.32396,0.00113605
2014-02-17,23:52:53,999,6.32401,0.00112594
2014-02-17,23:52:54,1003,6.32396,0.00114611
2014-02-17,23:52:55,1004,6.32397,0.00115053
2014-02-17,23:52:56,1003,6.32397,0.00115538
2014-02-17,23:52:57,1001,6.32402,0.00115191
2014-02-17,23:52:58,1004,6.32398,0.00115866
2014-02-17,23:52:59,1000,6.32396,0.00116139
2014-02-17,23:53:00,1001,6.32397,0.00115735
2014-02-17,23:53:01,1002,6.32399,0.00114144
2014-02-17,23:53:02,1002,6.32395,0.00114944
2014-02-17,23:53:03,1002,6.32396,0.00113957
2014-02-17,23:53:04,1001,6.32396,0.00113023
2014-02-17,23:53:05,1003,6.32395,0.00114213
2014-02-17,23:53:06,1002,6.32399,0.00115316
2014-02-17,23:53:07,1002,6.32396,0.00117562
2014-02-17,23:53:08,1004,6.32398,0.00117416
2014-02-17,23:53:09,1001,6.32397,0.00115529
2014-02-17,23:53:10,1002,6.32399,0.00115274
2014-02-17,23:53:11,1002,6.32399,0.00112661
2014-02-17,23:53:12,1002,6.32397,0.00112802
2014-02-17,23:53:13,1000,6.32398,0.00114395
2014-02-17,23:53:14,1000,6.32402,0.00112842
2014-02-17,23:53:15,1000,6.32396,0.0011327
2014-02-17,23:53:16,1003,6.32401,0.00113864
2014-02-17,23:53:17,1000,6.32397,0.00112324
2014-02-17,23:53:18,1003,6.32396,0.0011433
2014-02-17,23:53:19,1003,6.32399,0.00115368
2014-02-17,23:53:20,1001,6.324,0.00115164
2014-02-17,23:53:21,1003,6.32402,0.00117186
2014-02-17,23:53:22,1003,6.324,0.00116822
2014-02-17,23:53:23,1002,6.324,0.00115946
2014-02-17,23:53:24,1004,6.32403,0.00112795
2014-02-17,23:53:25,1004,6.32398,0.00114606
2014-02-17,23:53:26,1004,6.32404,0.00114564
2014-02-17,23:53:27,1001,6.32402,0.00117411
2014-02-17,23:53:28,1002,6.32402,0.00116479
2014-02-17,23:53:29,1000,6.32402,0.00117045
2014-02-17,23:53:30,1002,6.32399,0.00116939
2014-02-17,23:53:31,1001,6.32401,0.0011714
2014-02-17,23:53:32,1002,6.32401,0.00113603
2014-02-17,23:53:33,1003,6.32404,0.00114924
2014-02-17,23:53:34,999,6.32403,0.00114582
2014-02-17,23:53:35,1003,6.32404,0.00113686
2014-02-17,23:53:36,1003,6.32405,0.00116158
2014-02-17,23:53:37,1002,6.32403,0.00117216
2014-02-17,23:53:38,1004,6.32405,0.00117583
2014-02-17,23:53:39,1001,6.32401,0.00118374
2014-02-17,23:53:40,1000,6.32406,0.00116907
2014-02-17,23:53:41,1003,6.324,0.00117641
2014-02-17,23:53:42,1000,6.32402,0.00115354
2014-02-17,23:53:43,1003,6.32402,0.00115397
2014-02-17,23:53:44,1001,6.32406,0.00112677
2014-02-17,23:53:45,1001,6.32403,0.00112046
2014-02-17,23:53:46,1003,6.32402,0.00113688
2014-02-17,23:53:47,1002,6.32405,0.00114927
2014-02-17,23:53:48,1001,6.32401,0.00115991
2014-02-17,23:53:49,1002,6.32406,0.00115653
2014-02-17,23:53:50,1004,6.32406,0.00115435
2014-02-17,23:53:51,1001,6.32405,0.00113042
2014-02-17,23:53:52,1002,6.32403,0.0011426
2014-02-17,23:53:53,1000,6.32401,0.00115594
2014-02-17,23:53:54,1002,6.32404,0.0011499
2014-02-17,23:53:55,1003,6.32402,0.00112504
2014-02-17,23:53:56,1001,6.32405,0.00114918
2014-02-17,23:53:57,1001,6.32404,0.00115759
2014-02-17,23:53:58,1005,6.32405,0.00117573
2014-02-17,23:53:59,998,6.32409,0.00117318
2014-02-17,23:54:00,1002,6.32406,0.00117906
2014-02-17,23:54:01,1001,6.32409,0.00118593
2014-02-17,23:54:02,1001,6.32407,0.00116907
2014-02-17,23:54:03,1002,6.32407,0.00116492
2014-02-17,23:54:04,999,6.32405,0.00114558
2014-02-17,23:54:05,1000,6.32406,0.00114022
2014-02-17,23:54:06,1003,6.32405,0.00113348
2014-02-17,23:54:07,1004,6.32406,0.00114638
2014-02-17,23:54:08,1002,6.32406,0.00114118
2014-02-17,23:54:09,1002,6.32409,0.00114988
2014-02-17,23:54:10,1000,6.32408,0.00115294
2014-02-17,23:54:11,1000,6.32405,0.00118089
2014-02-17,23:54:12,1005,6.32405,0.00117321
2014-02-17,23:54:13,1002,6.3241,0.00114829
2014-02-17,23:54:14,1001,6.32404,0.00113836
2014-02-17,23:54:15,1002,6.32404,0.00112943
2014-02-17,23:54:16,1002,6.32406,0.00114085
2014-02-17,23:54:17,1000,6.32405,0.00115055
2014-02-17,23:54:18,1002,6.32405,0.00114631
2014-02-17,23:54:19,1001,6.32408,0.00113114
2014-02-17,23:54:20,1001,6.32406,0.00117021
2014-02-17,23:54:21,1001,6.32409,0.00119098
2014-02-17,23:54:22,1003,6.32406,0.00117339
2014-02-17,23:54:23,1003,6.32407,0.00117603
2014-02-17,23:54:24,1002,6.32407,0.00114708
2014-02-17,23:54:25,1004,6.32406,0.00113844
2014-02-17,23:54:26,1003,6.32409,0.00116866
2014-02-17,23:54:27,1001,6.32411,0.00115431
2014-02-17,23:54:28,1001,6.32411,0.0011691
2014-02-17,23:54:29,1002,6.32411,0.00117685
2014-02-17,23:54:30,1000,6.32411,0.00117356
2014-02-17,23:54:31,1004,6.32408,0.00116956
2014-02-17,23:54:32,1003,6.32412,0.00115684
2014-02-17,23:54:33,1002,6.32406,0.00114894
2014-02-17,23:54:34,998,6.32409,0.00115363
2014-02-17,23:54:35,1003,6.32407,0.00115114
2014-02-17,23:54:36,1002,6.32407,0.0011608
2014-02-17,23:54:37,999,6.32408,0.00116029
2014-02-17,23:54:38,1003,6.32408,0.00117727
2014-02-17,23:54:39,1001,6.3241,0.00117971
2014-02-17,23:54:40,1002,6.32409,0.00117729
2014-02-17,23:54:41,1003,6.32411,0.00116554
2014-02-17,23:54:42,1002,6.32414,0.00115977
2014-02-17,23:54:43,1002,6.32408,0.00116693
2014-02-17,23:54:44,1001,6.32411,0.00114496
2014-02-17,23:54:45,1002,6.32408,0.00115373
2014-02-17,23:54:46,1003,6.32406,0.00115301
2014-02-17,23:54:47,1001,6.32412,0.00116518
2014-02-17,23:54:48,1001,6.32414,0.00117858
2014-02-17,23:54:49,1001,6.32409,0.00117373
2014-02-17,23:54:50,1001,6.32413,0.00116834
2014-02-17,23:54:51,1001,6.32407,0.0011803
2014-02-17,23:54:52,1003,6.32413,0.00117323
2014-02-17,23:54:53,1001,6.32414,0.00117008
2014-02-17,23:54:54,999,6.32414,0.00116036
2014-02-17,23:54:55,1004,6.32413,0.00114617
2014-02-17,23:54:56,1004,6.32407,0.00114241
2014-02-17,23:54:57,1001,6.3241,0.00113613
2014-02-17,23:54:58,1003,6.32414,0.00114636
2014-02-17,23:54:59,1002,6.32414,0.00116622
2014-02-17,23:55:00,1001,6.32409,0.00115462
2014-02-17,23:55:01,1003,6.3241,0.00117451
2014-02-17,23:55:02,1004,6.32412,0.00116943
2014-02-17,23:55:03,998,6.32413,0.00117203
2014-02-17,23:55:04,1001,6.3241,0.00118979
2014-02-17,23:55:05,1003,6.32413,0.00119122
2014-02-17,23:55:06,1001,6.32412,0.00117261
2014-02-17,23:55:07,1001,6.32413,0.00114662
2014-02-17,23:55:08,1004,6.32411,0.00114669
2014-02-17,23:55:09,1002,6.32413,0.00115859
2014-02-17,23:55:10,1002,6.32413,0.0011591
2014-02-17,23:55:11,1001,6.32413,0.0011494
2014-02-17,23:55:12,1002,6.32414,0.00116396
2014-02-17,23:55:13,1001,6.32412,0.00116469
2014-02-17,23:55:14,1001,6.32414,0.00116183
2014-02-17,23:55:15,1005,6.32414,0.00117234
2014-02-17,23:55:16,1006,6.32413,0.00116834
2014-02-17,23:55:17,997,6.32413,0.00116327
2014-02-17,23:55:18,1005,6.32413,0.00115288
2014-02-17,23:55:19,1003,6.32417,0.00115116
2014-02-17,23:55:20,1000,6.32415,0.0011412
2014-02-17,23:55:21,1001,6.32414,0.00117556
2014-02-17,23:55:22,1006,6.32412,0.00118409
2014-02-17,23:55:23,1002,6.32418,0.00115451
2014-02-17,23:55:24,1005,6.32414,0.00117295
2014-02-17,23:55:25,1003,6.32412,0.00114673
2014-02-17,23:55:26,1002,6.32412,0.00114738
2014-02-17,23:55:27,999,6.32417,0.00115037
2014-02-17,23:55:28,1002,6.32414,0.00113938
2014-02-17,23:55:29,999,6.32412,0.00114747
2014-02-17,23:55:30,1002,6.32416,0.00114948
2014-02-17,23:55:31,1002,6.32415,0.00116266
2014-02-17,23:55:33,1000,6.32417,0.00116926
2014-02-17,23:55:34,1005,6.32415,0.00118446
2014-02-17,23:55:35,1003,6.32417,0.00117894
2014-02-17,23:55:36,1001,6.32418,0.0011653
2014-02-17,23:55:37,1005,6.32418,0.00116808
2014-02-17,23:55:38,1001,6.32414,0.00114746
2014-02-17,23:55:39,1003,6.32413,0.0011522
2014-02-17,23:55:40,1002,6.32415,0.0011602
2014-02-17,23:55:41,1003,6.32413,0.00117556
2014-02-17,23:55:42,1001,6.32416,0.00117863
2014-02-17,23:55:43,1002,6.32415,0.00117022
2014-02-17,23:55:44,1000,6.32417,0.00118214
2014-02-17,23:55:45,1002,6.32419,0.0011682
2014-02-17,23:55:46,1000,6.32416,0.00116749
2014-02-17,23:55:47,1003,6.32414,0.00116332
2014-02-17,23:55:48,1001,6.32418,0.00117705
2014-02-17,23:55:49,1000,6.32417,0.00114736
2014-02-17,23:55:50,1002,6.32418,0.00115408
2014-02-17,23:55:51,1002,6.32416,0.00114596
2014-02-17,23:55:52,1001,6.32416,0.00114675
2014-02-17,23:55:53,1003,6.32417,0.00116077
2014-02-17,23:55:54,999,6.32418,0.00115939
2014-02-17,23:55:55,1000,6.32417,0.00116711
2014-02-17,23:55:56,1005,6.32419,0.00118934
2014-02-17,23:55:57,1005,6.32417,0.00114575
2014-02-17,23:55:58,1000,6.32419,0.00115872
2014-02-17,23:55:59,1002,6.32417,0.00118094
2014-02-17,23:56:00,1000,6.32417,0.00116074
2014-02-17,23:56:01,1001,6.32418,0.001151
2014-02-17,23:56:02,1001,6.32418,0.00115639
2014-02-17,23:56:03,1003,6.32417,0.0011391
2014-02-17,23:56:04,1005,6.32421,0.00115157
2014-02-17,23:56:05,998,6.3242,0.00115621
2014-02-17,23:56:06,1004,6.32422,0.00117089
2014-02-17,23:56:07,1002,6.3242,0.00115649
2014-02-17,23:56:08,1001,6.32418,0.00116951
2014-02-17,23:56:09,1005,6.3242,0.00119152
2014-02-17,23:56:10,1001,6.3242,0.00114692
2014-02-17,23:56:11,1001,6.32419,0.00116793
2014-02-17,23:56:12,1001,6.3242,0.00115863
2014-02-17,23:56:13,1000,6.32421,0.00113919
2014-02-17,23:56:14,999,6.32419,0.00116944
2014-02-17,23:56:15,1002,6.32419,0.00115778
2014-02-17,23:56:16,1003,6.3242,0.00115094
2014-02-17,23:56:17,1005,6.32421,0.00115924
2014-02-17,23:56:18,1001,6.32421,0.0011904
2014-02-17,23:56:19,1003,6.32422,0.0011791
2014-02-17,23:56:20,1000,6.32423,0.00117996
2014-02-17,23:56:21,1003,6.3242,0.00116564
2014-02-17,23:56:22,1000,6.3242,0.00116848
2014-02-17,23:56:23,1002,6.32425,0.00114734
2014-02-17,23:56:24,1001,6.32423,0.00116733
2014-02-17,23:56:25,1001,6.32417,0.00114774
2014-02-17,23:56:26,1003,6.32417,0.00115945
2014-02-17,23:56:27,1004,6.32423,0.00118966
2014-02-17,23:56:28,1005,6.32422,0.00117766
2014-02-17,23:56:29,999,6.32422,0.00119544
2014-02-17,23:56:30,1004,6.32426,0.00116264
2014-02-17,23:56:31,1002,6.32423,0.00117139
2014-02-17,23:56:32,997,6.32422,0.00118297
2014-02-17,23:56:33,1003,6.32421,0.00116902
2014-02-17,23:56:34,998,6.32425,0.00115527
2014-02-17,23:56:35,1004,6.32422,0.00114499
2014-02-17,23:56:36,1002,6.32422,0.00118519
2014-02-17,23:56:37,1008,6.32426,0.00118106
2014-02-17,23:56:38,998,6.32421,0.00116996
2014-02-17,23:56:39,1002,6.32425,0.00118231
2014-02-17,23:56:40,1004,6.32426,0.00116
2014-02-17,23:56:41,1001,6.32422,0.00116021
2014-02-17,23:56:42,1000,6.3242,0.00115202
2014-02-17,23:56:43,1003,6.32421,0.0011612
2014-02-17,23:56:44,1001,6.3242,0.00117706
2014-02-17,23:56:45,1000,6.32425,0.00114433
2014-02-17,23:56:46,1004,6.32423,0.00113303
2014-02-17,23:56:47,1000,6.32423,0.00115974
2014-02-17,23:56:48,998,6.32424,0.00115277
2014-02-17,23:56:49,1004,6.32425,0.00118492
2014-02-17,23:56:50,999,6.32423,0.00116477
2014-02-17,23:56:51,1003,6.32421,0.00116901
2014-02-17,23:56:52,1000,6.32425,0.00118792
2014-02-17,23:56:53,1003,6.32423,0.00118339
2014-02-17,23:56:54,1000,6.32422,0.00118838
2014-02-17,23:56:55,1001,6.32422,0.00118319
2014-02-17,23:56:56,1001,6.32427,0.00118318
2014-02-17,23:56:57,1000,6.32423,0.00119085
